n,k,graph_path,tree_path,bf_flag,cc_flag,time_bf,time_cc
20,3,data/erdos_renyi_20_0.1_123.edgelist,data/tree_3_123.edgelist,True,True,0.000946044921875,0.00924372673034668
20,4,data/erdos_renyi_20_0.1_123.edgelist,data/tree_4_123.edgelist,True,True,0.0013680458068847656,0.0004999637603759766
20,5,data/erdos_renyi_20_0.1_123.edgelist,data/tree_5_123.edgelist,True,True,0.0025157928466796875,0.00039505958557128906
20,6,data/erdos_renyi_20_0.1_123.edgelist,data/tree_6_123.edgelist,True,True,0.07801222801208496,0.0013539791107177734
50,3,data/erdos_renyi_50_0.04_123.edgelist,data/tree_3_123.edgelist,True,True,0.00035881996154785156,0.0003540515899658203
50,4,data/erdos_renyi_50_0.04_123.edgelist,data/tree_4_123.edgelist,True,True,0.0015611648559570312,0.0005986690521240234
50,5,data/erdos_renyi_50_0.04_123.edgelist,data/tree_5_123.edgelist,True,True,0.0018589496612548828,0.0004992485046386719
50,6,data/erdos_renyi_50_0.04_123.edgelist,data/tree_6_123.edgelist,True,True,0.08508992195129395,0.004460811614990234
100,3,data/erdos_renyi_100_0.02_123.edgelist,data/tree_3_123.edgelist,True,True,0.0003790855407714844,0.0003609657287597656
100,4,data/erdos_renyi_100_0.02_123.edgelist,data/tree_4_123.edgelist,True,True,0.0031480789184570312,0.0005931854248046875
100,5,data/erdos_renyi_100_0.02_123.edgelist,data/tree_5_123.edgelist,True,True,0.002869844436645508,0.0005741119384765625
100,6,data/erdos_renyi_100_0.02_123.edgelist,data/tree_6_123.edgelist,True,True,0.34397315979003906,0.005508899688720703
200,3,data/erdos_renyi_200_0.01_123.edgelist,data/tree_3_123.edgelist,True,True,0.0004169940948486328,0.0007069110870361328
200,4,data/erdos_renyi_200_0.01_123.edgelist,data/tree_4_123.edgelist,True,True,0.0005259513854980469,0.00043320655822753906
200,5,data/erdos_renyi_200_0.01_123.edgelist,data/tree_5_123.edgelist,True,True,0.03921675682067871,0.004803180694580078
200,6,data/erdos_renyi_200_0.01_123.edgelist,data/tree_6_123.edgelist,True,True,0.0361020565032959,0.015674829483032227
500,3,data/erdos_renyi_500_0.004_123.edgelist,data/tree_3_123.edgelist,True,True,0.0004260540008544922,0.0007789134979248047
500,4,data/erdos_renyi_500_0.004_123.edgelist,data/tree_4_123.edgelist,True,True,0.0035920143127441406,0.0005660057067871094
500,5,data/erdos_renyi_500_0.004_123.edgelist,data/tree_5_123.edgelist,True,True,0.003762960433959961,0.0017862319946289062
500,6,data/erdos_renyi_500_0.004_123.edgelist,data/tree_6_123.edgelist,True,True,1.5778508186340332,0.0015170574188232422
20,3,data/erdos_renyi_20_0.1_420.edgelist,data/tree_3_420.edgelist,True,True,0.00036787986755371094,0.00028204917907714844
20,4,data/erdos_renyi_20_0.1_420.edgelist,data/tree_4_420.edgelist,True,True,0.0003559589385986328,0.0008449554443359375
20,5,data/erdos_renyi_20_0.1_420.edgelist,data/tree_5_420.edgelist,True,True,0.0007460117340087891,0.007869243621826172
20,6,data/erdos_renyi_20_0.1_420.edgelist,data/tree_6_420.edgelist,True,True,0.025333166122436523,0.03561282157897949
50,3,data/erdos_renyi_50_0.04_420.edgelist,data/tree_3_420.edgelist,True,True,0.00038695335388183594,0.000308990478515625
50,4,data/erdos_renyi_50_0.04_420.edgelist,data/tree_4_420.edgelist,True,True,0.0010378360748291016,0.0008728504180908203
50,5,data/erdos_renyi_50_0.04_420.edgelist,data/tree_5_420.edgelist,True,True,0.002001047134399414,0.0004928112030029297
50,6,data/erdos_renyi_50_0.04_420.edgelist,data/tree_6_420.edgelist,True,True,0.038073062896728516,0.0068891048431396484
100,3,data/erdos_renyi_100_0.02_420.edgelist,data/tree_3_420.edgelist,True,True,0.00037217140197753906,0.0005459785461425781
100,4,data/erdos_renyi_100_0.02_420.edgelist,data/tree_4_420.edgelist,True,True,0.0003712177276611328,0.0026519298553466797
100,5,data/erdos_renyi_100_0.02_420.edgelist,data/tree_5_420.edgelist,True,True,0.022493839263916016,0.004988908767700195
100,6,data/erdos_renyi_100_0.02_420.edgelist,data/tree_6_420.edgelist,True,True,0.22129106521606445,0.0012278556823730469
200,3,data/erdos_renyi_200_0.01_420.edgelist,data/tree_3_420.edgelist,True,True,0.00040602684020996094,0.00047588348388671875
200,4,data/erdos_renyi_200_0.01_420.edgelist,data/tree_4_420.edgelist,True,True,0.001064300537109375,0.000579833984375
200,5,data/erdos_renyi_200_0.01_420.edgelist,data/tree_5_420.edgelist,True,True,0.0010197162628173828,0.0004429817199707031
200,6,data/erdos_renyi_200_0.01_420.edgelist,data/tree_6_420.edgelist,True,True,0.052632808685302734,0.0011169910430908203
500,3,data/erdos_renyi_500_0.004_420.edgelist,data/tree_3_420.edgelist,True,True,0.00047016143798828125,0.000518798828125
500,4,data/erdos_renyi_500_0.004_420.edgelist,data/tree_4_420.edgelist,True,True,0.004884243011474609,0.0005309581756591797
500,5,data/erdos_renyi_500_0.004_420.edgelist,data/tree_5_420.edgelist,True,True,0.004764080047607422,0.0006558895111083984
500,6,data/erdos_renyi_500_0.004_420.edgelist,data/tree_6_420.edgelist,True,True,1.54939866065979,0.010575056076049805
20,3,data/erdos_renyi_20_0.1_7137.edgelist,data/tree_3_7137.edgelist,True,True,0.0004067420959472656,0.0002942085266113281
20,4,data/erdos_renyi_20_0.1_7137.edgelist,data/tree_4_7137.edgelist,True,True,0.0006568431854248047,0.0015239715576171875
20,5,data/erdos_renyi_20_0.1_7137.edgelist,data/tree_5_7137.edgelist,True,True,0.0006098747253417969,0.012930870056152344
20,6,data/erdos_renyi_20_0.1_7137.edgelist,data/tree_6_7137.edgelist,True,True,0.009620904922485352,0.013132095336914062
50,3,data/erdos_renyi_50_0.04_7137.edgelist,data/tree_3_7137.edgelist,True,True,0.06693124771118164,0.00032067298889160156
50,4,data/erdos_renyi_50_0.04_7137.edgelist,data/tree_4_7137.edgelist,True,True,1.1052908897399902,0.0006411075592041016
50,5,data/erdos_renyi_50_0.04_7137.edgelist,data/tree_5_7137.edgelist,True,True,13.643119812011719,0.0006420612335205078
50,6,data/erdos_renyi_50_0.04_7137.edgelist,data/tree_6_7137.edgelist,True,True,133.8836190700531,0.0008959770202636719
100,3,data/erdos_renyi_100_0.02_7137.edgelist,data/tree_3_7137.edgelist,True,True,0.0003879070281982422,0.00031828880310058594
100,4,data/erdos_renyi_100_0.02_7137.edgelist,data/tree_4_7137.edgelist,True,True,0.0017762184143066406,0.0011348724365234375
100,5,data/erdos_renyi_100_0.02_7137.edgelist,data/tree_5_7137.edgelist,True,True,0.00040602684020996094,0.0013899803161621094
100,6,data/erdos_renyi_100_0.02_7137.edgelist,data/tree_6_7137.edgelist,True,True,0.0052568912506103516,0.0019659996032714844
200,3,data/erdos_renyi_200_0.01_7137.edgelist,data/tree_3_7137.edgelist,True,True,0.0005156993865966797,0.0006792545318603516
200,4,data/erdos_renyi_200_0.01_7137.edgelist,data/tree_4_7137.edgelist,True,True,0.0048749446868896484,0.00039196014404296875
200,5,data/erdos_renyi_200_0.01_7137.edgelist,data/tree_5_7137.edgelist,True,True,0.8064970970153809,0.003909111022949219
200,6,data/erdos_renyi_200_0.01_7137.edgelist,data/tree_6_7137.edgelist,True,True,56.47590398788452,0.001499176025390625
500,3,data/erdos_renyi_500_0.004_7137.edgelist,data/tree_3_7137.edgelist,True,True,0.01525115966796875,0.0007789134979248047
500,4,data/erdos_renyi_500_0.004_7137.edgelist,data/tree_4_7137.edgelist,True,True,1.5967400074005127,0.001046895980834961
