n,k,graph_path,tree_path,bf_flag,cc_flag,time_bf,time_cc
100,7,data/random_bipartite/random_bipartite_50_50_0.5_123.edgelist,data/random_tree/random_tree_7_123.edgelist,True,True,39.327672875000005,5.384829958
100,6,data/random_bipartite/random_bipartite_50_50_0.5_123.edgelist,data/random_tree/random_tree_6_123.edgelist,True,True,5.927874000000003,1.6405644170000002
100,4,data/random_bipartite/random_bipartite_50_50_0.5_123.edgelist,data/random_tree/random_tree_4_123.edgelist,True,True,0.006344124999998257,0.001961624999999856
100,3,data/random_bipartite/random_bipartite_50_50_0.5_123.edgelist,data/random_tree/random_tree_3_123.edgelist,True,True,0.00035416699999757384,0.0011310000000008813
100,5,data/random_bipartite/random_bipartite_50_50_0.5_123.edgelist,data/random_tree/random_tree_5_123.edgelist,True,True,0.018742250000002514,0.04479166699999837
20,7,data/random_bipartite/random_bipartite_10_10_0.5_123.edgelist,data/random_tree/random_tree_7_123.edgelist,True,True,0.5701054999999968,0.002402541000002145
20,6,data/random_bipartite/random_bipartite_10_10_0.5_123.edgelist,data/random_tree/random_tree_6_123.edgelist,True,True,0.12584625000000216,0.0009808329999998477
20,4,data/random_bipartite/random_bipartite_10_10_0.5_123.edgelist,data/random_tree/random_tree_4_123.edgelist,True,True,0.0011777499999965357,0.0004197499999989418
20,3,data/random_bipartite/random_bipartite_10_10_0.5_123.edgelist,data/random_tree/random_tree_3_123.edgelist,True,True,0.0003120410000008178,0.00030604099999465006
20,5,data/random_bipartite/random_bipartite_10_10_0.5_123.edgelist,data/random_tree/random_tree_5_123.edgelist,True,True,0.002360500000001764,0.0007880829999962202
40,7,data/random_bipartite/random_bipartite_20_20_0.5_123.edgelist,data/random_tree/random_tree_7_123.edgelist,True,True,5.780841541000001,0.026956708000000162
40,6,data/random_bipartite/random_bipartite_20_20_0.5_123.edgelist,data/random_tree/random_tree_6_123.edgelist,True,True,0.9542218749999947,0.004137749999998164
40,4,data/random_bipartite/random_bipartite_20_20_0.5_123.edgelist,data/random_tree/random_tree_4_123.edgelist,True,True,0.0030287920000020563,0.0007836660000037909
40,3,data/random_bipartite/random_bipartite_20_20_0.5_123.edgelist,data/random_tree/random_tree_3_123.edgelist,True,True,0.00034516699999898037,0.00027229199999823095
40,5,data/random_bipartite/random_bipartite_20_20_0.5_123.edgelist,data/random_tree/random_tree_5_123.edgelist,True,True,0.007857416999996758,0.0015365830000035885
100,7,data/random_bipartite/random_bipartite_50_50_0.5_123.edgelist,data/random_tree/random_tree_7_123.edgelist,True,True,39.214162042000005,4.517696792000001
100,6,data/random_bipartite/random_bipartite_50_50_0.5_123.edgelist,data/random_tree/random_tree_6_123.edgelist,True,True,5.8278075409999985,0.24520595799999967
100,4,data/random_bipartite/random_bipartite_50_50_0.5_123.edgelist,data/random_tree/random_tree_4_123.edgelist,True,True,0.0067293330000026685,0.0022134999999963156
100,3,data/random_bipartite/random_bipartite_50_50_0.5_123.edgelist,data/random_tree/random_tree_3_123.edgelist,True,True,0.00037687500000060936,0.0012575419999976134
100,5,data/random_bipartite/random_bipartite_50_50_0.5_123.edgelist,data/random_tree/random_tree_5_123.edgelist,True,True,0.019467917000000057,0.06103866699999827
20,7,data/random_bipartite/random_bipartite_10_10_0.5_123.edgelist,data/random_tree/random_tree_7_123.edgelist,True,True,0.5719667079999979,0.026070124999996835
20,6,data/random_bipartite/random_bipartite_10_10_0.5_123.edgelist,data/random_tree/random_tree_6_123.edgelist,True,True,0.12298224999999974,0.001521500000002618
20,4,data/random_bipartite/random_bipartite_10_10_0.5_123.edgelist,data/random_tree/random_tree_4_123.edgelist,True,True,0.0011804170000004888,0.0006259160000041675
20,3,data/random_bipartite/random_bipartite_10_10_0.5_123.edgelist,data/random_tree/random_tree_3_123.edgelist,True,True,0.0003359590000044932,0.0003547499999996262
20,5,data/random_bipartite/random_bipartite_10_10_0.5_123.edgelist,data/random_tree/random_tree_5_123.edgelist,True,True,0.002476250000000846,0.0011377919999944197
40,7,data/random_bipartite/random_bipartite_20_20_0.5_123.edgelist,data/random_tree/random_tree_7_123.edgelist,True,True,5.703799000000004,0.020918999999999244
40,6,data/random_bipartite/random_bipartite_20_20_0.5_123.edgelist,data/random_tree/random_tree_6_123.edgelist,True,True,0.9271251250000034,0.004160917000000097
40,4,data/random_bipartite/random_bipartite_20_20_0.5_123.edgelist,data/random_tree/random_tree_4_123.edgelist,True,True,0.002930624999997633,0.0007921250000038071
40,3,data/random_bipartite/random_bipartite_20_20_0.5_123.edgelist,data/random_tree/random_tree_3_123.edgelist,True,True,0.0003418749999966053,0.0006438329999980397
40,5,data/random_bipartite/random_bipartite_20_20_0.5_123.edgelist,data/random_tree/random_tree_5_123.edgelist,True,True,0.008049499999998488,0.003053749999999411
100,7,data/random_bipartite/random_bipartite_50_50_0.5_123.edgelist,data/random_tree/random_tree_7_123.edgelist,True,True,38.90142,5.103454833
100,6,data/random_bipartite/random_bipartite_50_50_0.5_123.edgelist,data/random_tree/random_tree_6_123.edgelist,True,True,5.827325332999997,0.19974783299999643
100,4,data/random_bipartite/random_bipartite_50_50_0.5_123.edgelist,data/random_tree/random_tree_4_123.edgelist,True,True,0.006709333000003426,0.0019365419999957112
