n,k,graph_path,tree_path,bf_flag,cc_flag,time_bf,time_cc
3,3,data/tree_3_123.edgelist,data/tree_3_123.edgelist,True,True,0.00080108642578125,0.01111292839050293
4,4,data/tree_4_123.edgelist,data/tree_4_123.edgelist,True,True,0.000392913818359375,0.0006692409515380859
5,5,data/tree_5_123.edgelist,data/tree_5_123.edgelist,True,True,0.00048732757568359375,0.008912801742553711
6,6,data/tree_6_123.edgelist,data/tree_6_123.edgelist,True,True,0.0005209445953369141,0.025473833084106445
7,7,data/tree_7_123.edgelist,data/tree_7_123.edgelist,True,True,0.0005619525909423828,0.19789481163024902
8,8,data/tree_8_123.edgelist,data/tree_8_123.edgelist,True,True,0.0005669593811035156,0.7583329677581787
9,9,data/tree_9_123.edgelist,data/tree_9_123.edgelist,True,True,0.0005960464477539062,0.8086040019989014
3,3,data/tree_3_420.edgelist,data/tree_3_420.edgelist,True,True,0.0003459453582763672,0.0004949569702148438
4,4,data/tree_4_420.edgelist,data/tree_4_420.edgelist,True,True,0.0004458427429199219,0.003962993621826172
5,5,data/tree_5_420.edgelist,data/tree_5_420.edgelist,True,True,0.00035119056701660156,0.009426116943359375
6,6,data/tree_6_420.edgelist,data/tree_6_420.edgelist,True,True,0.00041103363037109375,0.027643918991088867
7,7,data/tree_7_420.edgelist,data/tree_7_420.edgelist,True,True,0.0005440711975097656,0.061808109283447266
8,8,data/tree_8_420.edgelist,data/tree_8_420.edgelist,True,True,0.0005598068237304688,0.3779869079589844
9,9,data/tree_9_420.edgelist,data/tree_9_420.edgelist,True,True,0.0005428791046142578,5.406981945037842
3,3,data/tree_3_7137.edgelist,data/tree_3_7137.edgelist,True,True,0.00035691261291503906,0.0007359981536865234
4,4,data/tree_4_7137.edgelist,data/tree_4_7137.edgelist,True,True,0.0003478527069091797,0.0013201236724853516
5,5,data/tree_5_7137.edgelist,data/tree_5_7137.edgelist,True,True,0.0004968643188476562,0.010088205337524414
6,6,data/tree_6_7137.edgelist,data/tree_6_7137.edgelist,True,True,0.000514984130859375,0.03683304786682129
7,7,data/tree_7_7137.edgelist,data/tree_7_7137.edgelist,True,True,0.0005898475646972656,0.5520172119140625
8,8,data/tree_8_7137.edgelist,data/tree_8_7137.edgelist,True,True,0.0005371570587158203,0.6696639060974121
9,9,data/tree_9_7137.edgelist,data/tree_9_7137.edgelist,True,True,0.0007612705230712891,1.038456916809082
3,3,data/tree_3_2108.edgelist,data/tree_3_2108.edgelist,True,True,0.0003788471221923828,0.0008661746978759766
4,4,data/tree_4_2108.edgelist,data/tree_4_2108.edgelist,True,False,0.00035834312438964844,0.014586925506591797
5,5,data/tree_5_2108.edgelist,data/tree_5_2108.edgelist,True,True,0.0004589557647705078,0.011588096618652344
6,6,data/tree_6_2108.edgelist,data/tree_6_2108.edgelist,True,True,0.000431060791015625,0.018145084381103516
7,7,data/tree_7_2108.edgelist,data/tree_7_2108.edgelist,True,True,0.00043487548828125,0.02323007583618164
8,8,data/tree_8_2108.edgelist,data/tree_8_2108.edgelist,True,True,0.0005390644073486328,0.3477339744567871
9,9,data/tree_9_2108.edgelist,data/tree_9_2108.edgelist,True,True,0.0006830692291259766,0.6364889144897461
3,3,data/tree_3_1111.edgelist,data/tree_3_1111.edgelist,True,True,0.0004429817199707031,0.0002601146697998047
4,4,data/tree_4_1111.edgelist,data/tree_4_1111.edgelist,True,True,0.0003590583801269531,0.0010540485382080078
5,5,data/tree_5_1111.edgelist,data/tree_5_1111.edgelist,True,True,0.0004661083221435547,0.029887914657592773
6,6,data/tree_6_1111.edgelist,data/tree_6_1111.edgelist,True,True,0.0003991127014160156,0.0750877857208252
7,7,data/tree_7_1111.edgelist,data/tree_7_1111.edgelist,True,True,0.0004069805145263672,0.22767210006713867
8,8,data/tree_8_1111.edgelist,data/tree_8_1111.edgelist,True,True,0.0005598068237304688,1.2391281127929688
9,9,data/tree_9_1111.edgelist,data/tree_9_1111.edgelist,True,True,0.00043511390686035156,0.0519559383392334
